minute,second,team,playerName,type,outcomeType,x,y,endX,endY
13,25.0,Barcelona,Dani Alves,Pass,Successful,43.6,35.1,56.8,7.6
13,28.0,Barcelona,Sergi Roberto,Pass,Successful,56.8,7.6,44.7,16.7
13,30.0,Barcelona,Dani Alves,Pass,Successful,44.7,16.7,53.8,25.8
13,31.0,Barcelona,Ivan Rakitic,Pass,Successful,53.8,25.8,46.0,30.4
13,32.0,Barcelona,Sergio Busquets,Pass,Successful,46.0,30.4,48.3,19.5
13,33.0,Barcelona,Dani Alves,Pass,Successful,48.3,19.5,47.4,25.0
13,35.0,Barcelona,Ivan Rakitic,Pass,Successful,47.4,27.3,44.2,33.7
13,36.0,Barcelona,Sergio Busquets,Pass,Successful,43.1,35.5,38.5,66.0
13,38.0,Barcelona,Javier Mascherano,Pass,Successful,38.7,68.5,47.1,77.9
13,41.0,Barcelona,Jordi Alba,Pass,Successful,52.2,80.2,55.6,93.9
13,43.0,Barcelona,Andrés Iniesta,Pass,Successful,56.4,94.1,62.8,96.5
13,44.0,Barcelona,Neymar,Pass,Successful,62.8,96.5,55.4,90.8
13,46.0,Real Madrid,James Rodríguez,Challenge,Unsuccessful,40.2,11.8,,
13,46.0,Barcelona,Andrés Iniesta,TakeOn,Successful,59.8,88.2,,
13,48.0,Barcelona,Andrés Iniesta,Pass,Successful,56.3,71.9,82.3,32.8
13,53.0,Barcelona,Sergi Roberto,Pass,Successful,89.2,26.8,84.5,32.2
13,54.0,Barcelona,Ivan Rakitic,MissedShots,Successful,84.0,31.4,,
14,19.0,Real Madrid,Keylor Navas,Pass,Successful,5.0,59.4,57.6,84.5
14,22.0,Real Madrid,Gareth Bale,BallTouch,Successful,58.3,86.1,,
14,26.0,Barcelona,Claudio Bravo,KeeperPickup,Successful,13.1,35.7,,
14,27.0,Barcelona,Claudio Bravo,Pass,Successful,13.1,35.7,27.9,36.6
14,31.0,Barcelona,Sergio Busquets,Pass,Successful,29.6,41.3,35.0,54.8
14,32.0,Barcelona,Andrés Iniesta,Pass,Successful,35.0,54.8,32.7,48.1
14,33.0,Barcelona,Sergio Busquets,Pass,Successful,32.7,48.1,23.9,58.8
14,35.0,Barcelona,Javier Mascherano,Pass,Successful,23.9,58.8,30.3,92.9
14,37.0,Barcelona,Jordi Alba,Pass,Unsuccessful,32.8,93.2,64.2,90.9
