id,minute,second,teamId,h_a,type,outcomeType,x,y,endX,endY
2390967635.0,13,25.0,ManchesterUnited,a,Pass,Unsuccessful,73.7,4.7,81.5,21.9
2390967661.0,13,26.0,ManchesterCity,h,Pass,Successful,13.5,74.7,25.3,81.4
2390967673.0,13,28.0,ManchesterCity,h,BallRecovery,Successful,25.2,81.4,,
2390967697.0,13,29.0,ManchesterCity,h,Pass,Successful,29.4,86.3,19.3,86.8
2390967723.0,13,30.0,ManchesterCity,h,Pass,Unsuccessful,20.6,86.5,38.2,65.4
2390967735.0,13,33.0,ManchesterUnited,a,Interception,Successful,60.0,35.2,,
2390967781.0,13,35.0,ManchesterCity,h,Pass,Successful,33.6,59.4,45.8,47.2
2390967787.0,13,36.0,ManchesterCity,h,Foul,Successful,46.1,45.6,,
2390967793.0,13,36.0,ManchesterUnited,a,Foul,Unsuccessful,53.9,54.4,,
2390968197.0,14,6.0,ManchesterCity,h,Pass,Successful,46.4,52.4,46.0,29.1
2391072415.0,14,7.0,ManchesterCity,h,Pass,Successful,44.8,26.8,63.1,5.2
2390968299.0,14,11.0,ManchesterCity,h,Pass,Successful,54.7,18.6,43.7,35.2
2390968321.0,14,14.0,ManchesterCity,h,Pass,Successful,46.0,42.8,45.1,26.2
2390968375.0,14,16.0,ManchesterCity,h,Pass,Successful,44.4,22.7,55.7,6.5
2390968453.0,14,19.0,ManchesterCity,h,Pass,Successful,61.3,11.1,74.0,94.7
2390968491.0,14,24.0,ManchesterCity,h,Pass,Successful,75.5,93.6,66.8,76.1
2390968497.0,14,27.0,ManchesterCity,h,TakeOn,Unsuccessful,69.7,73.4,,
2390968507.0,14,27.0,ManchesterUnited,a,Tackle,Unsuccessful,30.3,26.6,,
2390968525.0,14,28.0,ManchesterCity,h,BallTouch,Successful,67.3,74.8,,
2390968539.0,14,29.0,ManchesterUnited,a,BallRecovery,Successful,30.6,34.5,,
2390968619.0,14,29.0,ManchesterUnited,a,Pass,Successful,31.3,31.0,45.9,16.8
2390968627.0,14,34.0,ManchesterUnited,a,Foul,Successful,44.8,20.5,,
2390968653.0,14,34.0,ManchesterCity,h,Foul,Unsuccessful,55.2,79.5,,
2390968893.0,14,47.0,ManchesterUnited,a,Pass,Successful,52.1,24.6,46.9,40.0
2390968955.0,14,49.0,ManchesterUnited,a,Pass,Successful,44.5,43.0,41.9,63.3
2390969035.0,14,53.0,ManchesterUnited,a,Pass,Successful,58.4,69.6,54.9,90.5
2390969059.0,14,58.0,ManchesterUnited,a,Pass,Successful,53.1,91.5,37.5,78.1
2390969143.0,15,0.0,ManchesterUnited,a,Pass,Successful,37.4,77.2,25.6,43.9
2390969197.0,15,9.0,ManchesterUnited,a,Pass,Successful,34.6,11.4,41.6,2.8
2390969205.0,15,10.0,ManchesterUnited,a,TakeOn,Unsuccessful,42.3,3.7,,
2390969193.0,15,11.0,ManchesterCity,h,Pass,Successful,43.8,94.7,59.3,79.7
2390969201.0,15,12.0,ManchesterCity,h,BallRecovery,Successful,59.0,79.9,,
2390969237.0,15,13.0,ManchesterCity,h,Pass,Successful,58.8,78.2,55.2,67.0
2390969263.0,15,15.0,ManchesterCity,h,Pass,Unsuccessful,56.5,64.9,85.9,40.1
2390969301.0,15,17.0,ManchesterUnited,a,Clearance,Successful,10.6,66.6,21.3,61.1
2390969313.0,15,20.0,ManchesterCity,h,SavedShot,Successful,85.0,37.3,,
2390969329.0,15,20.0,ManchesterUnited,a,Save,Successful,14.0,61.8,,
2390969477.0,15,26.0,ManchesterCity,h,Pass,Successful,84.7,0.0,65.9,7.1
2390969491.0,15,30.0,ManchesterCity,h,Pass,Successful,61.1,6.4,53.2,30.0
2390969519.0,15,32.0,ManchesterCity,h,Pass,Successful,53.3,29.8,53.3,41.8
2390969623.0,15,34.0,ManchesterCity,h,Pass,Successful,53.2,41.9,40.1,94.4
2390969733.0,15,40.0,ManchesterCity,h,Pass,Successful,39.2,92.3,16.6,44.9
2390969769.0,15,45.0,ManchesterCity,h,Pass,Successful,20.6,40.1,22.5,27.7
2390969919.0,15,51.0,ManchesterCity,h,Pass,Successful,38.7,40.1,55.4,92.4
2390969979.0,15,55.0,ManchesterCity,h,Pass,Successful,57.5,92.1,67.9,93.3
2390970031.0,15,58.0,ManchesterCity,h,Pass,Successful,68.2,91.1,75.0,96.3
2390970079.0,16,2.0,ManchesterCity,h,Pass,Successful,75.1,95.0,59.4,93.0
2390970111.0,16,5.0,ManchesterCity,h,Pass,Successful,57.7,94.8,51.0,74.8
2390970205.0,16,8.0,ManchesterCity,h,Pass,Successful,49.3,70.6,46.0,31.0
2390970243.0,16,12.0,ManchesterCity,h,Pass,Successful,46.5,32.7,44.1,49.7
2390970265.0,16,16.0,ManchesterCity,h,Pass,Successful,44.5,51.3,56.4,57.2
2390970275.0,16,17.0,ManchesterCity,h,Pass,Successful,56.8,56.7,55.7,45.8
2390970321.0,16,18.0,ManchesterCity,h,Pass,Successful,56.0,46.0,56.3,52.8
